cx_q2,cx_flag,Question Placement,Web,Dealership
great info on websiteprompt response from dealer,1,End of Survey,TRUE,TRUE
It?s was helpful!,1,End of Survey,FALSE,FALSE
My sales person did an excellent step by step experience.,2,Begin of Survey,FALSE,TRUE
I was very satisfied!,1,End of Survey,FALSE,FALSE
"prompt, courteous & informative",2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"My dealer, Chad, got ahold of me as soon as possible.",2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
I was contacted in less than 24 hours and they were very professional,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Again...no info on 2019 F-150 Limited...Salesperson tried to give me info on every other truck but the one I specifically stated as being the only model I was interested in...,1,End of Survey,FALSE,TRUE
Was contacted immediately,1,End of Survey,FALSE,TRUE
Prompt and informative,1,End of Survey,FALSE,TRUE
Excellent very excellent,2,Begin of Survey,FALSE,FALSE
Next to Impossible to obtain accurate and specific detailed information in order to doour own researching,1,End of Survey,TRUE,FALSE
It was as expected,2,Begin of Survey,FALSE,FALSE
What I expected,2,Begin of Survey,FALSE,FALSE
Never got a quote,2,Begin of Survey,TRUE,FALSE
I have bought from Chapman Ford in the past.They always treated me fairly.,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"The initial contact and communication was great but the ....The vehicle that I first test drove was not satisfactory and when we asked the dealership to locate a comparable car/brand new....they stated they had searched inventory for a 200 mile radius and not located what I was looking for. Then my husband located on just over the line in NC, about 60miles from Beach Ford but Beach Ford claimed that vehicle was not available but when we contact that dealership it was available, so we ended up working with Hall Ford and that experience was phenomenal and I would gladly work with that dealership again. But I will NOT ever deal with Beach Ford again.",2,Begin of Survey,TRUE,TRUE
The representatives were polite!,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
I would have rated it excellent but no one knew when you were going to have one to test drive. Hi,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
The email I received from the salesman Reginald Strachan was exceptionally rude. Therefore I contacted his manger Bill Kalfas to make a complaint and notify him of the email I received. Mr. Kalfas was very polite and professional regarding the ride email I received from Reginald Strachan.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
It was very good.,1,End of Survey,FALSE,FALSE
Site was user-friendly.,2,Begin of Survey,TRUE,TRUE
,1,End of Survey,FALSE,FALSE
The website was interactive and provided good information.,2,Begin of Survey,TRUE,FALSE
Because I received answers fast. The Dealer contact me. I love the service,2,Begin of Survey,FALSE,TRUE
"Simply, I spoke with someone who at least feigned listening. I have very firm opinions about what we are willing to purchase, especially when they cost about what my first house did.",2,Begin of Survey,FALSE,TRUE
Sales person was nice,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Leah was attentive and replied to all of my text quickly.,2,Begin of Survey,FALSE,TRUE
Responsive,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
They were very fast to respond and they answered any questions I had.,1,End of Survey,FALSE,TRUE
Quick responce.,2,Begin of Survey,FALSE,TRUE
Very fast,1,End of Survey,FALSE,FALSE
Very complete response to my inquiry,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
"Gentleman was kind, sincere and not pushy.",2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Someone from Smith Ford contacted me within a day.,2,Begin of Survey,FALSE,TRUE
"Fast easy purchase! Two quick  phone calls, got us the truck we wanted, pick it up tomorrow!",1,End of Survey,FALSE,TRUE
Prompt,2,Begin of Survey,FALSE,TRUE
I asked for a quote on a F 150 and did not get it but did get a phone call and the person was talking about the request about a Ram. Wrong Truck I don't no where he got that from so I just moved on and started looking other places and dealers.,1,End of Survey,TRUE,TRUE
,2,Begin of Survey,FALSE,FALSE
I was contacted almost immediately and I got a lot of what I needed to know before purchasing my NEW ECOSPORT.,2,Begin of Survey,FALSE,TRUE
"The initial contact was made with me, and I received some answers about my interest and established preferred method of contact for near term contact.",1,End of Survey,FALSE,FALSE
Because they had all the answers to my questions,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
I needed answers and did not get any.,1,End of Survey,FALSE,FALSE
Really like the truck and sales people,1,End of Survey,FALSE,TRUE
"The salesman Bryce was outstanding; however, the finance manager attempted to have me complete a credit application when he knew I already had financing approved prior to coming in.  He told me it was required because of OFAC...   I knew I was not required to complete it so I did not do so.  I didn?t appreciate the attempt but it didn?t change my feelings regarding the dealship or my experience.",2,Begin of Survey,FALSE,TRUE
It met my request,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
We had a wonderful person help me Ron Lessard did not push he listen to what I was looking for and he delivered,2,Begin of Survey,FALSE,TRUE
"No attempt to ""sell car"" by good features; safety etc.",1,End of Survey,FALSE,FALSE
Good experence,2,Begin of Survey,FALSE,FALSE
"Dealer advertised on their website that they were offering ""employee pricing for everyone"", and their listings lead you to believe that by clicking on ""Get Employee Price"" you would receive a better price.  I received an email back saying that the price listed online WAS the employee price.  Compared with similar vehicles at other dealers, it was clearly not a discounted price. VERY MISLEADING!!!!",1,End of Survey,TRUE,TRUE
It?s okay,1,End of Survey,FALSE,FALSE
Was called and told what was available,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Every dealer I spoke to in the southeastern region of the United States wanted $5000.00 to $10000.00 over MSRP for a 2019 Mustang Bullitt. Since i paid roughly $1200.00 over MSRP. I feel that I got a decent deal on a great car.,1,End of Survey,FALSE,TRUE
The representative was awesome. If you guys had the truck I wanted I would?ve bought one,1,End of Survey,FALSE,TRUE
Because it was.,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
it was good,2,Begin of Survey,FALSE,FALSE
Online form was easy to use and quick,1,End of Survey,TRUE,FALSE
,1,End of Survey,FALSE,FALSE
NA,2,Begin of Survey,FALSE,FALSE
Delay in reply.,2,Begin of Survey,FALSE,TRUE
"Timely response, good product knowledge",2,Begin of Survey,FALSE,TRUE
Didnt get the answers I wanted over the internet. They kept insisting I had to come in and talk. Other dealers did it though.,2,Begin of Survey,TRUE,TRUE
it was ok,2,Begin of Survey,FALSE,FALSE
Response was fast and informative,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
All questions were answered promptly,2,Begin of Survey,FALSE,TRUE
prompt and curteous,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Good is a sufficient rating!!!!,1,End of Survey,FALSE,FALSE
Received all pertinent information that I requested and saved me from making a trip to the dealer to get it.  Was able to pretty much figure out my finances before going to the dealer which made it easier for me.,1,End of Survey,FALSE,TRUE
"The sales people were all over me almost instantly.  They were ready to deal and wasted no time.  They were good listeners and started working at once on the model and trim I needed.  Here's the thing - I have never purchased a Ford.  Jeep, Toyota, Hyundai.  Ford had the right car, color, trim package, pricing at the right time and the pricing was aggressive.  It's a busy dealership but it wasn't frenetic, if anything, low-key.  I test drove a lesser trim and knew I liked that vehicle, the two drivers being fuel efficiency and if I could get my cello in the back seat.  Once I cleared those hurdles, the team at Park went and found my car.  So, I am a new Ford owner, no regrets.",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Someone contacted me right away.I like prompt response,2,Begin of Survey,FALSE,TRUE
Very informative & a surprisingly thorough knowledge of the Bullitt & the 350 GT Mustang as well.,1,End of Survey,FALSE,FALSE
"Got all the information I needed, in a timely manner",2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
