cx_q2,Question Placement,Web,Dealership
great info on websiteprompt response from dealer,End of Survey,TRUE,TRUE
It?s was helpful!,End of Survey,FALSE,FALSE
My sales person did an excellent step by step experience.,Begin of Survey,FALSE,TRUE
I was very satisfied!,End of Survey,FALSE,FALSE
"prompt, courteous & informative",Begin of Survey,FALSE,TRUE
"My dealer, Chad, got ahold of me as soon as possible.",Begin of Survey,FALSE,TRUE
I was contacted in less than 24 hours and they were very professional,End of Survey,FALSE,TRUE
Again...no info on 2019 F-150 Limited...Salesperson tried to give me info on every other truck but the one I specifically stated as being the only model I was interested in...,End of Survey,FALSE,TRUE
Was contacted immediately,End of Survey,FALSE,TRUE
Prompt and informative,End of Survey,FALSE,TRUE
Excellent very excellent,Begin of Survey,FALSE,FALSE
Next to Impossible to obtain accurate and specific detailed information in order to doour own researching,End of Survey,TRUE,FALSE
It was as expected,Begin of Survey,FALSE,FALSE
What I expected,Begin of Survey,FALSE,FALSE
Never got a quote,Begin of Survey,TRUE,FALSE
I have bought from Chapman Ford in the past.They always treated me fairly.,End of Survey,FALSE,FALSE
"The initial contact and communication was great but the ....The vehicle that I first test drove was not satisfactory and when we asked the dealership to locate a comparable car/brand new....they stated they had searched inventory for a 200 mile radius and not located what I was looking for. Then my husband located on just over the line in NC, about 60miles from Beach Ford but Beach Ford claimed that vehicle was not available but when we contact that dealership it was available, so we ended up working with Hall Ford and that experience was phenomenal and I would gladly work with that dealership again. But I will NOT ever deal with Beach Ford again.",Begin of Survey,TRUE,TRUE
The representatives were polite!,End of Survey,FALSE,TRUE
I would have rated it excellent but no one knew when you were going to have one to test drive. Hi,Begin of Survey,FALSE,FALSE
The email I received from the salesman Reginald Strachan was exceptionally rude. Therefore I contacted his manger Bill Kalfas to make a complaint and notify him of the email I received. Mr. Kalfas was very polite and professional regarding the ride email I received from Reginald Strachan.,Begin of Survey,FALSE,TRUE
It was very good.,End of Survey,FALSE,FALSE
Site was user-friendly.,Begin of Survey,TRUE,TRUE
The website was interactive and provided good information.,Begin of Survey,TRUE,FALSE
Because I received answers fast. The Dealer contact me. I love the service,Begin of Survey,FALSE,TRUE
"Simply, I spoke with someone who at least feigned listening. I have very firm opinions about what we are willing to purchase, especially when they cost about what my first house did.",Begin of Survey,FALSE,TRUE
Sales person was nice,End of Survey,FALSE,TRUE
Leah was attentive and replied to all of my text quickly.,Begin of Survey,FALSE,TRUE
Responsive,End of Survey,FALSE,TRUE
They were very fast to respond and they answered any questions I had.,End of Survey,FALSE,TRUE
Quick responce.,Begin of Survey,FALSE,TRUE
Very fast,End of Survey,FALSE,FALSE
Very complete response to my inquiry,Begin of Survey,FALSE,TRUE
"Gentleman was kind, sincere and not pushy.",Begin of Survey,FALSE,TRUE
Someone from Smith Ford contacted me within a day.,Begin of Survey,FALSE,TRUE
"Fast easy purchase! Two quick  phone calls, got us the truck we wanted, pick it up tomorrow!",End of Survey,FALSE,TRUE
Prompt,Begin of Survey,FALSE,TRUE
I asked for a quote on a F 150 and did not get it but did get a phone call and the person was talking about the request about a Ram. Wrong Truck I don't no where he got that from so I just moved on and started looking other places and dealers.,End of Survey,TRUE,TRUE
I was contacted almost immediately and I got a lot of what I needed to know before purchasing my NEW ECOSPORT.,Begin of Survey,FALSE,TRUE
"The initial contact was made with me, and I received some answers about my interest and established preferred method of contact for near term contact.",End of Survey,FALSE,FALSE
Because they had all the answers to my questions,Begin of Survey,FALSE,TRUE
I needed answers and did not get any.,End of Survey,FALSE,FALSE
Really like the truck and sales people,End of Survey,FALSE,TRUE
"The salesman Bryce was outstanding; however, the finance manager attempted to have me complete a credit application when he knew I already had financing approved prior to coming in.  He told me it was required because of OFAC...   I knew I was not required to complete it so I did not do so.  I didn?t appreciate the attempt but it didn?t change my feelings regarding the dealship or my experience.",Begin of Survey,FALSE,TRUE
It met my request,End of Survey,FALSE,FALSE
We had a wonderful person help me Ron Lessard did not push he listen to what I was looking for and he delivered,Begin of Survey,FALSE,TRUE
"No attempt to ""sell car"" by good features; safety etc.",End of Survey,FALSE,FALSE
Good experence,Begin of Survey,FALSE,FALSE
"Dealer advertised on their website that they were offering ""employee pricing for everyone"", and their listings lead you to believe that by clicking on ""Get Employee Price"" you would receive a better price.  I received an email back saying that the price listed online WAS the employee price.  Compared with similar vehicles at other dealers, it was clearly not a discounted price. VERY MISLEADING!!!!",End of Survey,TRUE,TRUE
It?s okay,End of Survey,FALSE,FALSE
Was called and told what was available,Begin of Survey,FALSE,TRUE
Every dealer I spoke to in the southeastern region of the United States wanted $5000.00 to $10000.00 over MSRP for a 2019 Mustang Bullitt. Since i paid roughly $1200.00 over MSRP. I feel that I got a decent deal on a great car.,End of Survey,FALSE,TRUE
The representative was awesome. If you guys had the truck I wanted I would?ve bought one,End of Survey,FALSE,TRUE
Because it was.,End of Survey,FALSE,FALSE
it was good,Begin of Survey,FALSE,FALSE
Online form was easy to use and quick,End of Survey,TRUE,FALSE
NA,Begin of Survey,FALSE,FALSE
Delay in reply.,Begin of Survey,FALSE,TRUE
"Timely response, good product knowledge",Begin of Survey,FALSE,TRUE
Didnt get the answers I wanted over the internet. They kept insisting I had to come in and talk. Other dealers did it though.,Begin of Survey,TRUE,TRUE
it was ok,Begin of Survey,FALSE,FALSE
Response was fast and informative,Begin of Survey,FALSE,TRUE
All questions were answered promptly,Begin of Survey,FALSE,TRUE
prompt and curteous,End of Survey,FALSE,TRUE
Good is a sufficient rating!!!!,End of Survey,FALSE,FALSE
Received all pertinent information that I requested and saved me from making a trip to the dealer to get it.  Was able to pretty much figure out my finances before going to the dealer which made it easier for me.,End of Survey,FALSE,TRUE
"The sales people were all over me almost instantly.  They were ready to deal and wasted no time.  They were good listeners and started working at once on the model and trim I needed.  Here's the thing - I have never purchased a Ford.  Jeep, Toyota, Hyundai.  Ford had the right car, color, trim package, pricing at the right time and the pricing was aggressive.  It's a busy dealership but it wasn't frenetic, if anything, low-key.  I test drove a lesser trim and knew I liked that vehicle, the two drivers being fuel efficiency and if I could get my cello in the back seat.  Once I cleared those hurdles, the team at Park went and found my car.  So, I am a new Ford owner, no regrets.",End of Survey,FALSE,TRUE
Someone contacted me right away.I like prompt response,Begin of Survey,FALSE,TRUE
Very informative & a surprisingly thorough knowledge of the Bullitt & the 350 GT Mustang as well.,End of Survey,FALSE,FALSE
"Got all the information I needed, in a timely manner",Begin of Survey,FALSE,FALSE
I requested e-mail contact onlyI received several calls so I ignored further attempts to contactNow I am looking at other vehicles. Prefer Escape but Now I need a real deal to buy Ford!,End of Survey,FALSE,TRUE
Was impressed on the speed I was contacted,End of Survey,FALSE,TRUE
Was first contacted within an hour.,Begin of Survey,FALSE,TRUE
Immediately responded to my request,Begin of Survey,FALSE,TRUE
It was easy to use and I was contacted immediately.   The online representative was very attentive to my request,Begin of Survey,TRUE,TRUE
Prompt response and comminication,Begin of Survey,FALSE,TRUE
tHE SALES PERSON LISTEN TO WHAT i TOLD HIM AND UNDERSTOOD FULLY MY POSITION AT THIS TIME AND DID NOT PRESSURE ME.,Begin of Survey,FALSE,TRUE
Quick response with detailed information at my convenience.,End of Survey,FALSE,TRUE
It was quick response.,End of Survey,FALSE,TRUE
They were very prompt in getting in touch with me and very courteous.,Begin of Survey,FALSE,TRUE
Quick reonse.,Begin of Survey,FALSE,FALSE
fast,End of Survey,FALSE,FALSE
Because the price and payments i was given were insane. I got the same exact vehicle for the same exact down payment you guys offered for $60 less per month. Thats also for the same length of lease and same yearly mileage. Thats a huge difference.,End of Survey,FALSE,FALSE
"Quick response time from my inquiry.  Superior presentation of the vehicle made it feel very personal and appealing.  No high pressure sales technique, passive  upsells made me feel like I was in control and not being steered into something I didn't want.  My salesperson, Frank, even gave me his card with his cellphone if I had additional questions.",End of Survey,FALSE,TRUE
Prompt and clear responses with no bs,End of Survey,FALSE,TRUE
Not a timely reply,Begin of Survey,FALSE,TRUE
"Its dependent on the receiving dealership. I found it most helpful when I learned to search which dealers have a Bullitt within 20 miles of me (and their options). That was helpful, then I could proceed much easier (even if the outcome is not good so far).",End of Survey,TRUE,TRUE
Prompt and courtous,Begin of Survey,FALSE,TRUE
They contacted me the same day as my request,Begin of Survey,FALSE,TRUE
Don?t want an immediate response,End of Survey,FALSE,TRUE
Ford is an excellent company looking out for my best interest and working hard to get me a great deal.,End of Survey,FALSE,FALSE
Never contacted,End of Survey,FALSE,TRUE
no call,End of Survey,FALSE,FALSE
Intial contact made but no follow up after I provided additional information.,End of Survey,FALSE,FALSE
contacted quickly,Begin of Survey,FALSE,TRUE
